"学籍番号","学生氏名","科目番号","科目名 ","単位数","春学期","秋学期","総合評価","科目区分","開講年度","開講区分"
"201400000","student_name","2314293","発展体育シューティングスポーツ(秋)"," 1.0","-","-","履修中","C","2016","通常"
"201400000","student_name","GB13312","情報特別演習I"," 2.0","-","履修中","履修中","B","2016","通常"
"201400000","student_name","GB31121","並列処理アーキテクチャII"," 1.0","-","-","履修中","A","2016","通常"
"201400000","student_name","GB31301","プログラム言語処理"," 2.0","-","-","履修中","A","2016","通常"
"201400000","student_name","GB31601","データベース概論II"," 2.0","-","-","履修中","A","2016","通常"
"201400000","student_name","GB31701","情報検索概論"," 2.0","-","-","履修中","A","2016","通常"
"201400000","student_name","GB31901","分散システム"," 1.0","-","-","履修中","A","2016","通常"
"201400000","student_name","GB32001","システム評価技法"," 2.0","-","-","履修中","A","2016","通常"
"201400000","student_name","GB36503","情報システム実験B"," 3.0","-","-","履修中","A","2016","通常"
"201400000","student_name","GB20101","プログラム言語論"," 2.0","-","-","A+","A","2016","通常"
"201400000","student_name","GB21111","プログラム理論"," 1.0","-","-","A+","A","2016","通常"
"201400000","student_name","GB30301","データベース概論I"," 2.0","-","-","A+","A","2016","通常"
"201400000","student_name","GB31111","並列処理アーキテクチャI"," 1.0","-","-","A+","A","2016","通常"
"201400000","student_name","GB31401","システムプログラム"," 2.0","-","-","A+","A","2016","通常"
"201400000","student_name","GB31501","ソフトウェア工学"," 2.0","-","-","A+","A","2016","通常"
"201400000","student_name","GB36403","情報システム実験A"," 3.0","-","-","A+","A","2016","通常"
"201400000","student_name","GB40301","ヒューマンインタフェース"," 2.0","-","-","A+","A","2016","通常"
"201400000","student_name","GB41611","自然言語処理"," 1.0","-","-","A+","A","2016","通常"
"201400000","student_name","GB42101","情報セキュリティ"," 2.0","-","-","A+","A","2016","通常"
"201400000","student_name","1B20041","知的財産のしくみ(特許編)"," 1.0","-","-","A+","C","2015","通常"
"201400000","student_name","2211233","応用体育剣道(秋)"," 0.5","-","-","A+","C","2015","通常"
"201400000","student_name","GB11514","シミュレーション物理"," 1.0","-","-","A+","B","2015","通常"
"201400000","student_name","GB11701","複素関数論"," 2.0","-","-","A+","B","2015","通常"
"201400000","student_name","GB11954","システムプログラミング序論"," 3.0","-","-","A+","A","2015","通常"
"201400000","student_name","GB12401","システム制御概論"," 2.0","-","-","A+","A","2015","通常"
"201400000","student_name","GB12901","ソフトウェア技法"," 2.0","-","-","A+","A","2015","集中"
"201400000","student_name","GB13013","オブジェクト指向プログラミング実習"," 1.0","-","-","A","A","2015","通常"
"201400000","student_name","GB13106","論理システム実験"," 1.5","-","-","A","A","2015","通常"
"201400000","student_name","GB13212","技術英語"," 1.0","-","-","A","B","2015","通常"
"201400000","student_name","GB13704","コンピュータグラフィックス基礎"," 2.0","-","-","A","A","2015","通常"
"201400000","student_name","GB20301","人工知能"," 2.0","-","-","A","A","2015","通常"
"201400000","student_name","GB30401","オペレーティングシステムI"," 2.0","-","-","A","A","2015","通常"
"201400000","student_name","GC22101","Webプログラミング"," 2.0","-","-","A","C0","2015","通常"
"201400000","student_name","2211223","応用体育剣道(春)"," 0.5","-","-","A","C","2015","通常"
